,"Aberdeen Anderson Dr",,"Aberdeen Erroll Park",,"Aberdeen King Street",,"Aberdeen Market Street 2",,"Aberdeen Union Street Roadside",,"Aberdeen Wellington Road",,"Alloa A907",,"Angus Forfar Glamis Rd",,"Auchencorth Moss",,"Dundee Broughty Ferry Road",,"Dundee Lochee Road",,"Dundee Mains Loan",,"Dundee Meadowside",,"Dundee Seagate",,"Dundee Whitehall Street",,"E Ayrshire Kilmarnock St Marnock St",,"East Dunbartonshire Bearsden",,"East Dunbartonshire Bishopbriggs",,"East Dunbartonshire Kirkintilloch",,"East Dunbartonshire Milngavie ",,"East Lothian Musselburgh N High St",,"Edinburgh Currie",,"Edinburgh Glasgow Road",,"Edinburgh Nicolson Street",,"Edinburgh Queensferry Road",,"Edinburgh Salamander St",,"Edinburgh St John's Road",,"Edinburgh St Leonards",,"Edinburgh Tower Street",,"Falkirk Grangemouth MC",,"Falkirk Grangemouth Zetland Park",,"Falkirk Haggs",,"Falkirk Hope St",,"Falkirk Main St Bainsford",,"Falkirk West Bridge Street",,"Fife Cupar",,"Fife Dunfermline",,"Fife Kirkcaldy",,"Fife Rosyth",,"Glasgow Anderston",,"Glasgow Broomhill",,"Glasgow Byres Road",,"Glasgow Dumbarton Road",,"Glasgow High Street",,"Glasgow Kerbside",,"Glasgow Nithsdale Road",,"Glasgow Townhead",,"Glasgow Waulkmillglen Reservoir",,Grangemouth,,"Inverclyde Greenock A8",,Inverness,,"N Lanarkshire Chapelhall",,"N Lanarkshire Coatbridge Whifflet",,"N Lanarkshire Coatbridge Whifflet A725",,"N Lanarkshire Croy",,"N Lanarkshire Kirkshaws",,"N Lanarkshire Motherwell",,"N Lanarkshire Motherwell Adele St.",,"N Lanarkshire Ravenscraig Plantation Road",,"N Lanarkshire Shawhead Coatbridge",,"N Lanarkshire Uddingston New Edinburgh Rd",,"North Ayrshire Irvine High St",,"Perth Atholl Street",,"Perth Bridgend",,"Perth Crieff",,"Perth Muirton",,"Renfrewshire Johnstone",,"South Ayrshire Ayr Harbour",,"South Ayrshire Ayr High St",,"South Lanarkshire Blantyre",,"South Lanarkshire Cambuslang",,"South Lanarkshire East Kilbride",,"South Lanarkshire Hamilton",,"South Lanarkshire Lanark",,"South Lanarkshire Raith Interchange 2",,"South Lanarkshire Rutherglen",,"South Lanarkshire Uddingston",,"Stirling Craig's Roundabout",,"West Dunbartonshire Clydebank",,"West Lothian Broxburn",,"West Lothian Linlithgow High Street 2",,"West Lothian Newton",
Date,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
01/01/2022,8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)","No data","No data",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",11,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",12,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)","No data","No data","No data","No data",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",12,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",14,"V µg/m³ (BAM)",10,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)","No data","No data",8,"V µg/m³ (Ref.eq)","No data","No data",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",14,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)","No data","No data",11,"V µg/m³ (Ref.eq)",11,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",11,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
02/01/2022,4,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","No data",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)","No data","No data","No data","No data",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (BAM)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)","No data","No data",5,"V µg/m³ (Ref.eq)","No data","No data",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
03/01/2022,3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)","No data","No data",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data","No data","No data",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",7,"V µg/m³ (BAM)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
04/01/2022,4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)","No data","No data",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",7,"V µg/m³ (BAM)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)","No data","No data",5,"V µg/m³ (Ref.eq)","No data","No data",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
05/01/2022,6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)","No data","No data",5,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",10,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",8,"V µg/m³ (BAM)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",12,"V µg/m³ (Ref.eq)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)","No data","No data",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",7,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",8,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",11,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
06/01/2022,3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)","No data","No data",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","No data",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (BAM)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
07/01/2022,1,"V µg/m³ (Ref.eq)",1,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",1,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","No data",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",1,"V µg/m³ (Ref.eq)",5,"V µg/m³ (BAM)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)","No data","No data",2,"V µg/m³ (Ref.eq)","No data","No data",3,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",5,"V µg/m³ (Ref.eq)",1,"V µg/m³ (Ref.eq)","No data","No data",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (Ref.eq)",4,"V µg/m³ (Ref.eq)","No data","V µg/m³","No data","V µg/m³ (Ref.eq)"
